ric,data_load,capitalization,current_price,ticker
AAAU.Z,2026-03-31,2.761298,45.46,AAAU.Z
AAXJ.OQ,2026-03-31,3.34764,93.64,AAXJ.OQ
ACIO.Z,2026-03-31,2.06927,41.58,ACIO.Z
ACWI.OQ,2026-03-31,27.401598,135.98,ACWI.OQ
ACWV.Z,2026-03-31,3.27762,118.34,ACWV.Z
ACWX.OQ,2026-03-31,9.121504,67.15,ACWX.OQ
ADX.N,2026-03-31,2.577903,21.55,ADX.N
AFNDY.PK,2026-03-31,5.839237,0.0,AFNDY.PK
AGG.P,2026-03-31,138.339072,99.22,AGG.P
AGQ.P,2026-03-31,1.681685,114.21,AGQ.P
AIA.OQ,2026-03-31,3.226044,102.89,AIA.OQ
AIQ.OQ,2026-03-31,6.988367,45.53,AIQ.OQ
AIRR.OQ,2026-03-31,7.969728,108.4,AIRR.OQ
AKRE.P,2026-03-31,6.529676,51.97,AKRE.P
ALLW.OQ,2026-03-31,1.20091,28.61,ALLW.OQ
AMJB.P,2026-03-31,765.336877,35.07,AMJB.P
AMLP.P,2026-03-31,12.331417,53.34,AMLP.P
ANGL.OQ,2026-03-31,2.979837,28.62,ANGL.OQ
AOA.P,2026-03-31,2.723604,87.2,AOA.P
AOM.P,2026-03-31,1.660896,47.09,AOM.P
AOR.P,2026-03-31,3.174936,63.71,AOR.P
APUE.P,2026-03-31,2.103518,39.35,APUE.P
ARKB.Z,2026-03-31,2.3088,22.28,ARKB.Z
ARKK.Z,2026-03-31,5.631048,65.57,ARKK.Z
ARKQ.Z,2026-03-31,1.735298,109.51,ARKQ.Z
ARKW.Z,2026-03-31,1.436348,118.0,ARKW.Z
ARTY.P,2026-03-31,1.98016,45.24,ARTY.P
ASA.N,2026-03-31,1.08538,60.95,ASA.N
ASHR.P,2026-03-31,1.465555,32.24,ASHR.P
ATMP.Z,2026-03-31,70.088043,34.95,ATMP.Z
AVDE.P,2026-03-31,13.847532,83.48,AVDE.P
AVDV.P,2026-03-31,16.733052,98.33,AVDV.P
AVEM.P,2026-03-31,19.491668,78.55,AVEM.P
AVES.P,2026-03-31,1.227488,58.75,AVES.P
AVIG.P,2026-03-31,1.71396,41.52,AVIG.P
AVIV.P,2026-03-31,1.140643,73.8,AVIV.P
AVLV.P,2026-03-31,10.175662,79.77,AVLV.P
AVSC.P,2026-03-31,2.362615,61.35,AVSC.P
AVUS.P,2026-03-31,10.606572,109.7,AVUS.P
AVUV.P,2026-03-31,22.964067,109.49,AVUV.P
